,attendance_rate,grade_average,socioeconomic_index,historical_dropouts_in_family,assignment_completion,travel_distance_km,dropped_out
attendance_rate,1.0,0.11548621426362582,0.034296246521349355,-0.2047832915543502,0.08675347277880485,-0.04538490052329595,-0.24351584949795768
grade_average,0.11548621426362582,1.0,0.02180371441329362,-0.03465927426535123,0.02097984686268339,0.011428914351283645,-0.10669802918540466
socioeconomic_index,0.034296246521349355,0.02180371441329362,1.0,-0.10518903006454611,0.02913699865193592,-0.024889942765225322,-0.14309073870842864
historical_dropouts_in_family,-0.2047832915543502,-0.03465927426535123,-0.10518903006454611,1.0,-0.04725525270608208,0.158235080585324,0.1973286291456842
assignment_completion,0.08675347277880485,0.02097984686268339,0.02913699865193592,-0.04725525270608208,1.0,-0.0788817171371102,-0.18349597793786984
travel_distance_km,-0.04538490052329595,0.011428914351283645,-0.024889942765225322,0.158235080585324,-0.0788817171371102,1.0,0.19459322685067498
dropped_out,-0.24351584949795768,-0.10669802918540466,-0.14309073870842864,0.1973286291456842,-0.18349597793786984,0.19459322685067498,1.0
